Processes,Slices,Total Points,Total Area,Elapsed Time (us),1- COS(b),Error
1,330,10000000,0.622008,160000000,0.622022257,1.4257E-05
2,330,10000000,0.622018,86000000,0.622022257,4.257E-06
4,330,10000000,0.622026,104000000,0.622022257,3.743E-06
8,330,10000000,0.622005,64000000,0.622022257,1.7257E-05
16,330,10000000,0.622023,48000000,0.622022257,7.43E-07
32,330,10000000,0.622021,54000000,0.622022257,1.257E-06
64,330,10000000,0.62202,54000000,0.622022257,2.257E-06
128,330,10000000,0.622018,64000000,0.622022257,4.257E-06
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,Processes,Error,,
,,,1,1.4257E-05,,
,,,2,4.257E-06,,
,,,4,3.743E-06,,
,,,8,1.7257E-05,,
,,,16,7.43E-07,,
,,,32,1.257E-06,,
,,,64,2.257E-06,,
,,,128,4.257E-06,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,Processes,Elapsed Time (us),,
,,,1,160000000,,
,,,2,86000000,,
,,,4,104000000,,
,,,8,64000000,,
,,,16,48000000,,
,,,32,54000000,,
,,,64,54000000,,
,,,128,64000000,,
